Prep,Run,Number,Sample,Cell Line,clid,Timepoint,serum,Harvest,Label_num,Tag,Exp_rep,TMT.Reporter,label,condition,replicate
Prep_10,TMT38,187,P0197,E5,694,4,starve,180722,127,R2,1,TMT38_R2,TMT38_R2,Afat.4.694.starve,1
Prep_10,TMT38,188,P0198,E5,694,24,starve,180723,128,R3,1,TMT38_R3,TMT38_R3,Afat.24.694.starve,1
Prep_10,TMT38,189,P0199,E5,694,48,starve,180724,129,R4,1,TMT38_R4,TMT38_R4,Afat.48.694.starve,1
Prep_11,TMT39,191,P0181,E4,693,0,starve,180722,126,R1,1,TMT39_R1,TMT39_R1,Afat.0.693.starve,1
Prep_11,TMT39,192,P0182,E4,693,4,starve,180722,127,R2,1,TMT39_R2,TMT39_R2,Afat.4.693.starve,1
Prep_11,TMT39,193,P0183,E4,693,24,starve,180723,128,R3,1,TMT39_R3,TMT39_R3,Afat.24.693.starve,1
Prep_11,TMT39,194,P0184,E4,693,48,starve,180724,129,R4,1,TMT39_R4,TMT39_R4,Afat.48.693.starve,1
Prep_11,TMT40,196,P0274,GR7,691,0,starve,180803,126,R1,1,TMT40_R1,TMT40_R1,Afat.0.691.starve,1
Prep_11,TMT40,197,P0275,GR7,691,4,starve,180803,127,R2,1,TMT40_R2,TMT40_R2,Afat.4.691.starve,1
Prep_11,TMT40,198,P0276,GR7,691,24,starve,180804,128,R3,1,TMT40_R3,TMT40_R3,Afat.24.691.starve,1
Prep_11,TMT40,199,P0277,GR7,691,48,starve,180805,129,R4,1,TMT40_R4,TMT40_R4,Afat.48.691.starve,1
Prep_11,TMT41,201,P0262,GR1,690,0,starve,180803,126,R1,1,TMT41_R1,TMT41_R1,Afat.0.690.starve,1
Prep_11,TMT41,202,P0263,GR1,690,4,starve,180803,127,R2,1,TMT41_R2,TMT41_R2,Afat.4.690.starve,1
Prep_11,TMT41,203,P0264,GR1,690,24,starve,180804,128,R3,1,TMT41_R3,TMT41_R3,Afat.24.690.starve,1
Prep_11,TMT41,204,P0265,GR1,690,48,starve,180805,129,R4,1,TMT41_R4,TMT41_R4,Afat.48.690.starve,1
Prep_11,TMT42,206,P0250,S1,689,0,starve,180805,126,R1,1,TMT42_R1,TMT42_R1,Afat.0.689.starve,1
Prep_11,TMT42,207,P0251,S1,689,4,starve,180805,127,R2,1,TMT42_R2,TMT42_R2,Afat.4.689.starve,1
Prep_11,TMT42,208,P0252,S1,689,24,starve,180806,128,R3,1,TMT42_R3,TMT42_R3,Afat.24.689.starve,1
Prep_11,TMT42,209,P0253,S1,689,48,starve,180807,129,R4,1,TMT42_R4,TMT42_R4,Afat.48.689.starve,1
