"","x"
"836","Syt3"
"837","Tap1"
"838","Tap2"
"839","Tapbp"
"840","Tbx6"
"841","Tcn2"
"842","Tcp11l2"
"843","Tcp11x2"
"844","Tcta"
"845","Tctn1"
"846","Tek"
"847","Tesc"
"848","Tet1"
"849","Tgfb1"
"850","Tgfb2"
"851","Tgfbi"
"852","Tgfbr2"
"853","Tgfbr3"
"854","Tgfbr3l"
"855","Tgif2"
"856","Tgm2"
"857","Tgtp1"
"858","Tgtp2"
"859","Thra"
"860","Thsd4"
"861","Tifa"
"862","Tlcd1"
"863","Tle2"
"864","Tle6"
"865","Tlr2"
"866","Tlr6"
"867","Tmem140"
"868","Tmem151a"
"869","Tmem175"
"870","Tmem176a"
"871","Tmem176b"
"872","Tmem182"
"873","Tmem205"
"874","Tmem218"
"875","Tmem221"
"876","Tmem229b"
"877","Tmem240"
"878","Tmem25"
"879","Tmem276"
"880","Tmem35b"
"881","Tmem38a"
"882","Tmem43"
"883","Tmem44"
"884","Tmem47"
"885","Tmem50a"
"886","Tmem53"
"887","Tmem59"
"888","Tmem67"
"889","Tmem86a"
"890","Tmem8b"
"891","Tmprss2"
"892","Tmtc1"
"893","Tmub2"
"894","Tnfrsf14"
"895","Tnfrsf1b"
"896","Tnfrsf25"
"897","Tnfsf12"
"898","Tnfsf13"
"899","Tnfsfm13"
"900","Tnik"
"901","Tnnc1"
"902","Tnnt1"
"903","Tox3"
"904","Tpcn1"
"905","Traf3ip3"
"906","Trafd1"
"907","Trim12c"
"908","Trim17"
"909","Trim21"
"910","Trim30a"
"911","Trim34a"
"912","Trim34b"
"913","Trnp1"
"914","Trp53inp1"
"915","Trpm3"
"916","Trpm4"
"917","Tspan32"
"918","Tspan5"
"919","Ttc41"
"920","Ttll13"
"921","Ttll6"
"922","Tubb4a"
"923","Tulp2"
"924","Txlnb"
"925","Txndc16"
"926","Txnip"
"927","Uba7"
"928","Ube2l6"
"929","Ubxn11"
"930","Ugt1a6a"
"931","Ugt1a6b"
"932","Usp11"
"933","Usp18"
"934","Uty"
"935","Vamp1"
"936","Vamp2"
"937","Vipr2"
"938","Vps37d"
"939","Vsig10"
"940","Vsig10l"
"941","Vsir"
"942","Vwa1"
"943","Vwa5a"
"944","Vwa7"
"945","Vwf"
"946","Wdr93"
"947","Wls"
"948","Xaf1"
"949","Xdh"
"950","Yipf2"
"951","Ypel1"
"952","Ypel2"
"953","Ypel3"
"954","Ypel4"
"955","Zbp1"
"956","Zc3h6"
"957","Zcchc12"
"958","Zcchc24"
"959","Zcwpw1"
"960","Zeb2"
"961","Zfp219"
"962","Zfp36"
"963","Zfp36l1"
"964","Zfp467"
"965","Zfp607b"
"966","Zfp608"
"967","Zfp688"
"968","Zfp773"
"969","Zfp784"
"970","Zfp874b"
"971","Zfp949"
"972","Zfp954"
"973","Zfp964"
"974","Zfp977"
"975","Zfr2"
"976","Zhx2"
"977","Zkscan14"
"978","Zkscan2"
"979","Zmynd10"
"980","Zscan2"
