"","Afatinib.down","Afatinib.up","Neratinib.down","Neratinib.up"
"Cyp3a41a",1,0,0,0
"Cyp46a1",0,0,0,1
"Cyp4b1",0,1,0,0
"Cyp4f13",0,1,0,1
"Cyp4f17",0,1,0,1
"Cyp4f40",1,0,1,0
"Cyp4v3",0,1,0,1
"Cyp51",1,0,1,0
"Cyrib",1,0,1,0
"Cyth4",1,0,1,0
"Daam2",0,0,1,0
"Dab2",0,1,0,0
"Dach2",0,0,1,0
"Dact1",0,0,0,1
"Dact3",0,0,0,1
"Dad1",0,0,1,0
"Dap",1,0,1,0
"Dapk2",0,1,0,0
"Dazap1",0,0,1,0
"Dbf4",1,0,1,0
"Dbndd1",0,1,0,1
"Dbp",0,1,0,1
"Dbr1",0,0,1,0
"Dcaf6",0,1,0,1
"Dcaf8",0,0,0,1
"Dchs1",0,0,0,1
"Dck",1,0,1,0
"Dclk1",1,0,1,0
"Dclre1b",1,0,1,0
"Dcn",0,1,0,0
"Dcst2",0,0,0,1
"Dctd",1,0,1,0
"Dctpp1",1,0,1,0
"Dcun1d4",1,0,0,0
"Dcxr",0,1,0,1
"Ddah1",1,0,1,0
"Ddah2",0,0,0,1
"Ddb2",0,1,0,1
"Ddc",0,0,1,0
"Ddias",1,0,1,0
"Ddit4",0,1,0,1
"Ddo",0,1,0,1
"Ddost",0,0,1,0
"Ddr1",0,0,0,1
"Ddx11",1,0,1,0
"Ddx20",0,0,1,0
"Ddx21",1,0,1,0
"Ddx39a",1,0,1,0
"Ddx3x",0,0,1,0
"Ddx3y",0,1,0,0
"Ddx4",0,0,0,1
"Ddx60",0,1,0,1
"Decr2",0,0,0,1
"Dedd2",0,1,0,1
"Dek",1,0,1,0
"Dennd2a",0,0,0,1
"Dennd2c",0,1,0,1
"Dennd4b",0,0,0,1
"Denr",0,0,1,0
"Depdc1a",1,0,1,0
"Depdc1b",1,0,1,0
"Depp1",0,1,0,1
"Deptor",0,0,1,0
"Dera",0,0,1,0
"Derpc",0,0,1,0
"Des",0,1,0,0
"Dffb",0,1,0,1
"Dgat2",0,1,0,1
"Dgka",0,1,0,1
"Dgkb",0,0,0,1
"Dgki",0,0,0,1
"Dglucy",0,0,0,1
"Dhcr24",1,0,1,0
"Dhcr7",0,0,1,0
"Dhfr",1,0,1,0
"Dhodh",0,0,1,0
"Dhrs1",0,0,0,1
"Dhrs3",0,1,0,0
"Dhrs7",0,1,0,0
"Dhtkd1",0,0,0,1
"Dhx40",0,1,0,0
"Dhx57",0,0,0,1
"Dhx58",0,1,0,1
"Diaph3",1,0,1,0
"Dicer1",0,0,1,0
"Dimt1",0,0,1,0
"Dio2",0,1,0,0
"Dipk1a",0,0,0,1
"Dipk1b",0,1,0,1
"Diras1",0,0,0,1
"Dis3",1,0,1,0
"Disc1",0,0,0,1
"Disp2",0,0,1,0
"Dixdc1",0,0,0,1
"Dkc1",1,0,1,0
"Dkkl1",0,0,0,1
"Dlg4",0,1,0,1
"Dlgap1",1,0,0,0
"Dlgap5",1,0,1,0
"Dll1",0,1,0,1
"Dll4",0,1,0,1
"Dlx4",0,0,0,1
"Dmxl2",0,1,0,0
"Dna2",1,0,1,0
"Dnaaf2",0,0,1,0
"Dnaaf3",0,0,0,1
"Dnaaf4",0,0,0,1
"Dnajb11",1,0,1,0
"Dnajb5",0,0,1,0
"Dnajc11",0,0,1,0
"Dnajc2",0,0,1,0
"Dnajc21",0,0,1,0
"Dnajc25",0,0,1,0
"Dnajc28",0,1,0,1
"Dnajc3",0,0,1,0
"Dnajc6",0,0,0,1
"Dnajc9",1,0,1,0
"Dnase1l1",0,1,0,1
"Dnase2a",0,0,0,1
"Dnm1",0,1,0,1
"Dnm3",0,1,0,1
"Dnmt1",1,0,1,0
"Dnph1",1,0,1,0
"Dntt",1,0,1,0
"Doc2g",0,1,0,1
"Dock2",0,1,0,1
"Dock9",0,0,0,1
"Dok4",0,0,0,1
"Dolpp1",0,0,1,0
"Donson",0,0,1,0
"Dpf1",1,0,1,0
"Dpf3",1,0,1,0
"Dph2",1,0,1,0
"Dpp6",0,1,0,1
"Dpy30",0,0,1,0
"Dqx1",0,1,0,1
"Dram1",0,0,0,1
"Draxin",0,0,0,1
"Drc1",0,1,0,1
"Dscc1",1,0,1,0
"Dstyk",0,0,0,1
"Dthd1",0,1,0,1
"Dtl",1,0,1,0
"Dtna",0,0,0,1
"Dtx3l",0,1,0,1
"Dtx4",0,0,0,1
"Dtymk",0,0,1,0
"Dusp15",0,1,0,1
"Dusp22",0,0,1,0
"Dusp3",0,0,1,0
"Dusp4",1,0,1,0
"Dusp5",1,0,0,0
"Dusp6",1,0,1,0
"Dusp8",0,0,1,0
"Dusp9",1,0,1,0
"Dut",1,0,1,0
"Dync1li1",1,0,1,0
"Dyrk1b",0,1,0,1
"Dyrk3",0,0,1,0
"Dysf",0,0,0,1
"Dzank1",0,0,0,1
"Dzip1",0,0,0,1
"E2f1",1,0,1,0
"E2f2",1,0,1,0
"E2f3",0,0,1,0
"E2f4",0,0,1,0
"E2f7",1,0,1,0
"E2f8",1,0,1,0
"Eaf1",1,0,1,0
"Ears2",0,0,1,0
"Ebf4",0,1,0,1
"Ebna1bp2",1,0,1,0
"Ech1",0,0,0,1
"Echdc2",0,1,0,1
"Ect2",1,0,1,0
"Eda2r",0,1,0,0
"Eef1e1",1,0,1,0
"Eef2k",0,0,0,1
"Eefsec",1,0,0,0
"Efcab11",1,0,1,0
"Efcab5",1,0,0,0
"Efemp1",0,1,0,0
"Efhc1",0,0,0,1
"Efl1",0,0,1,0
"Efna1",0,1,0,0
"Efnb1",0,0,0,1
"Efr3b",1,0,1,0
"Eftud2",0,0,1,0
"Egf",0,1,0,1
"Egflam",0,0,1,0
"Egfr",0,1,0,1
"Egr1",0,0,0,1
"Egr3",0,0,0,1
"Ehbp1",0,0,0,1
"Ehbp1l1",0,0,1,0
"Ehd1",1,0,1,0
"Ehd2",0,0,0,1
"Ehd4",1,0,0,0
"Ehf",0,0,0,1
"Eid2b",0,1,0,1
"Eif1a",1,0,1,0
"Eif1ad",0,0,1,0
"Eif2ak2",0,1,0,0
"Eif2b3",1,0,1,0
"Eif2s1",0,0,1,0
"Eif2s2",0,0,1,0
