"","Afatinib.down_Neratinib.down","Afatinib.up_Neratinib.up","Afatinib.down_NA","Afatinib.up_NA","Neratinib.down_NA","Neratinib.up_NA"
"226","Esco2","Echdc2",NA,"Tmem106a","Gpn1","Erg"
"227","Espl1","Egf",NA,"Tmem132b","Gpn2","Ermard"
"228","Etv4","Egfr",NA,"Tmem71","Gprc5a","Etfrf1"
"229","Etv5","Eid2b",NA,"Tmem98","Grb10","Etv1"
"230","Etv6","Eif2s3y",NA,"Tmod1","Grid1","Evpl"
"231","Exo1","Eif4a2",NA,"Tnfaip6","Gstm7","Exoc3l"
"232","Exosc1","Elf3",NA,"Tnfrsf1a","Gstp2","Exoc3l4"
"233","Exosc2","Elmo1",NA,"Tpk1","Gypc","Extl3"
"234","Exosc8","Emilin1",NA,"Traf3ip2","H2ax","F3"
"235","Ezh2","Enho",NA,"Trappc6a","H3c3","F8"
"236","Ezr","Eno2",NA,"Trim14","Hapln4","Fam117a"
"237","F2r","Enpp2",NA,"Trim25","Haus7","Fam124a"
"238","F2rl1","Enpp5",NA,"Trim5","Hccs","Fam131a"
"239","Faap24","Epha4",NA,"Trp53i11","Hdlbp","Fam135b"
"240","Fads2","Ephb3",NA,"Ttll11","Heatr3","Fam161a"
"241","Fads3","Ephx1",NA,"Unc93a2","hEGFR","Fam171a2"
"242","Fam111a","Ephx4",NA,"Vmp1","Hes1","Fam174c"
"243","Fam136a","Epm2a",NA,"Wscd1","Higd1a","Fam180a"
"244","Fam167a","Eqtn",NA,"Zfp53","Hmbs","Fam193b"
"245","Fam83d","Espn",NA,"Zfp655","Hmgb1","Fam210b"
"246","Fam98a","Etfbkmt",NA,"Zfp969","Hmgn1","Fam234a"
"247","Fanca","Ezh1",NA,NA,"Hpf1","Fam83h"
"248","Fancb","Fam13a",NA,NA,"Hspa4","Fat4"
"249","Fancd2","Fam13c",NA,NA,"Hspa5","Fbln7"
"250","Fanci","Fam227a",NA,NA,"Hspa9","Fbn2"
"251","Fancl","Fam241b",NA,NA,"Hsph1","Fbxl16"
"252","Fasn","Fam3a",NA,NA,"Hyou1","Fbxl8"
"253","Fbl","Fam43a",NA,NA,"Ica1","Fbxo15"
"254","Fbxo48","Fam53b",NA,NA,"Idh3a","Fbxo2"
"255","Fbxo5","Fas",NA,NA,"Ier2","Fbxo6"
"256","Fdps","Fbxl20",NA,NA,"Ifrd1","Fbxw9"
"257","Fen1","Fbxl22",NA,NA,"Il11","Fgf11"
"258","Fgf15","Fbxl9",NA,NA,"Il33","Fgfbp1"
"259","Fgf21","Fbxo32",NA,NA,"Immt","Fgfr2"
"260","Fhl2","Fbxo41",NA,NA,"Imp4","Fgfrl1"
"261","Fignl1","Fbxo44",NA,NA,"Impdh1","Fhl1"
"262","Fkbp11","Fbxw10",NA,NA,"Ing5","Fhod3"
"263","Fkbp5","Fcgrt",NA,NA,"Inpp5d","Fign"
"264","Flt1","Fcho1",NA,NA,"Insyn2a","Fignl2"
"265","Fosl1","Fhl4",NA,NA,"Ipo5","Flrt3"
"266","Foxk2","Filip1",NA,NA,"Iqck","Fmnl2"
"267","Foxm1","Flcn",NA,NA,"Iqgap2","Fmnl3"
"268","Fpgs","Flrt2",NA,NA,"Itga5","Frmd4b"
"269","Fst","Flt3l",NA,NA,"Itga6","Frmd6"
"270","Fxyd5","Flvcr2",NA,NA,"Itgb3","Fscn1"
"271","Fyb2","Fmo5",NA,NA,"Itgb7","Fzd2"
"272","Galnt12","Fn1",NA,NA,"Itpa","Galnt11"
"273","Gap43","Fn3k",NA,NA,"Itpr1","Galnt7"
"274","Gar1","Fndc10",NA,NA,"Jag1","Ganc"
"275","Gart","Fos",NA,NA,"Jun","Garem1"
"276","Gas2l3","Foxc1",NA,NA,"Kat2a","Gdpd5"
"277","Gchfr","Foxj1",NA,NA,"Katnal2","Gfra1"
"278","Gemin6","Foxo3",NA,NA,"Kbtbd8","Gfra2"
"279","Gen1","Foxo4",NA,NA,"Kcnip1","Ghr"
"280","Gfm1","Foxo6",NA,NA,"Kcnj12","Gipc2"
"281","Gins1","Frat1",NA,NA,"Kcnk1","Glipr1"
"282","Gins2","Fuz",NA,NA,"Kcnn4","Gls2"
"283","Gins3","Fxyd1",NA,NA,"Kdelr2","Glt8d1"
"284","Gja1","Fyco1",NA,NA,"Kitl","Glul"
"285","Gk","Gab1",NA,NA,"Klf2","Gm2a"
"286","Glipr2","Gabarapl1",NA,NA,"Klf4","Gmpr"
"287","Gmnn","Gadd45a",NA,NA,"Klra2","Gna13"
"288","Gnb2","Gadd45b",NA,NA,"Kpnb1","Gng11"
"289","Gnpnat1","Galnt15",NA,NA,"Kras","Gper1"
"290","Golt1b","Galnt16",NA,NA,"Krr1","Gpr135"
"291","Gpatch4","Garem2",NA,NA,"Kti12","Gpr173"
"292","Gpr149","Gas1",NA,NA,"Lacc1","Gpr88"
"293","Grem1","Gbp10",NA,NA,"Lamc2","Grk4"
"294","Grhl2","Gbp11",NA,NA,"Larp1","Gsn"
"295","Grk6","Gbp2",NA,NA,"Lclat1","Gstm2"
"296","Grwd1","Gbp3",NA,NA,"Ldha","Gstt1"
"297","Gspt1","Gbp4",NA,NA,"Lect2","Gxylt2"
"298","Gsta1","Gbp6",NA,NA,"Lif","H3f3a"
"299","Gsta2","Gbp7",NA,NA,"Lin9","Hacd4"
"300","Gstcd","Gbp8",NA,NA,"Llph","Hacl1"
"301","Gsx1","Gbp9",NA,NA,"Lonp1","Haghl"
"302","Gtf3c6","Gcnt1",NA,NA,"Lonrf3","Heg1"
